Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.875,0.8691588785046729,0.9117647058823529,0.8899521531100478,0.8705164992826399
Decision Tree,0.8260869565217391,0.8125,0.8921568627450981,0.8504672897196262,0.8180296508847441
Random Forest,0.8967391304347826,0.9029126213592233,0.9117647058823529,0.9073170731707317,0.8949067431850788
KNN,0.875,0.8761904761904762,0.9019607843137255,0.8888888888888888,0.8717120994739359
SVC,0.8804347826086957,0.8636363636363636,0.9313725490196079,0.8962264150943396,0.8742228598756576
Gaussian NB,0.8695652173913043,0.875,0.8921568627450981,0.883495145631068,0.8668101386896221
LightGBM,0.875,0.898989898989899,0.8725490196078431,0.8855721393034826,0.8752989000478241
XGBoost,0.8695652173913043,0.8679245283018868,0.9019607843137255,0.8846153846153846,0.8656145384983261
CatBoost,0.875,0.898989898989899,0.8725490196078431,0.8855721393034826,0.8752989000478241
